Name,Latitude,Longitude,Year,Area (Ha),Type,Campsites,Melbourne_Distance
Organ Pipes National Park,-37.66861111,144.7669444,1972,121,Terrestrial,0,23.60973698
Churchill National Park,-37.95138889,145.26,1941,271,Terrestrial,0,30.22752726
Point Nepean National Park,-38.3156,144.6833,1988,560,Terrestrial,1,60.95786879
Morwell National Park,-38.36638889,146.3911111,1967,565,Terrestrial,0,139.2685753
Churchill Island Marine National Park,-38.49805556,145.3169444,2002,670,Marine,0,82.15597298
Lind National Park,-37.57055556,148.96,1925,1370,Terrestrial,0,352.6945425
Corner Inlet Marine National Park,-38.76666667,146.3333333,2002,1550,Marine,0,159.7836846
Mount Richmond National Park,-38.27027778,141.425,1960,1733,Terrestrial,0,313.9537462
Port Campbell National Park,-38.65027778,143.0625,1964,1750,Terrestrial,1,190.2934902
Tarra-Bulga National Park,-38.44166667,146.58,1986,2028,Terrestrial,0,157.7301376
Bunurong Marine National Park,-38.69111111,145.6561111,2002,2100,Marine,0,114.8153461
The Lakes National Park,-37.97027778,147.7419444,1927,2407,Terrestrial,1,244.4608309
Mornington Peninsula National Park,-38.50222222,144.8883333,1988,2686,Terrestrial,1,76.84982913
Ninety Mile Beach Marine National Park,-38.41666667,147.1833333,2002,2750,Marine,0,205.4801308
Discovery Bay Marine National Park,-38.35,141.3666667,2002,2770,Marine,0,320.3562122
Alfred National Park,-37.57138889,149.3602778,1925,3050,Terrestrial,0,387.8030984
Dandenong Ranges National Park,-37.81027778,145.3861111,1987,3540,Terrestrial,0,37.16207235
Terrick Terrick National Park,-36.14277778,144.2283333,1999,3880,Terrestrial,1,196.9162518
Point Hicks Marine National Park,-37.8,149.25,2002,4000,Marine,0,376.5876366
Cape Howe Marine National Park,-37.53333333,149.95,2002,4050,Marine,0,439.9568174
Point Addis Marine National Park,-38.41666667,144.2333333,2002,4600,Marine,0,92.58864036
Mount Eccles National Park,-38.07888889,141.8886111,1960,5470,Terrestrial,1,271.1889074
Twelve Apostles Marine National Park,-38.66666667,143.1,2002,7500,Marine,0,188.3384127
Brisbane Ranges National Park,-37.79527778,144.2788889,1973,7718,Terrestrial,4,60.14639642
Lower Goulburn National Park,-36.18166667,145.12,2010,9310,Terrestrial,59,181.9967852
Gunbower National Park,-35.69583333,144.1938889,2010,9330,Terrestrial,22,245.2506912
French Island National Park,-38.33083333,145.3880556,1998,11100,Terrestrial,1,68.49505106
Heathcote-Graytown National Park,-36.79638889,144.8661111,2002,12833,Terrestrial,1,113.4335232
Baw Baw National Park,-37.76388889,146.2230556,1979,13530,Terrestrial,3,110.8551613
Kara Kara National Park,-36.86055556,143.285,2002,13990,Terrestrial,1,182.315346
Mitchell River National Park,-37.65555556,147.3461111,1986,14250,Terrestrial,3,210.2893454
Warby-Ovens National Park,-36.32972222,146.1880556,2010,14655,Terrestrial,1,197.5701912
Wilsons Promontory Marine National Park,-39.16666667,146.3330556,2003,15500,Marine,0,191.9653773
Greater Bendigo National Park,-36.67388889,144.255,2002,17020,Terrestrial,1,141.3822507
Burrowa-Pine Mountain National Park,-36.09,147.7580556,1978,18400,Terrestrial,9,313.6847509
Cobboboonee National Park,-38.12638889,141.4461111,2008,18510,Terrestrial,2,310.2308652
Chiltern-Mount Pilot National Park,-36.13305556,146.6011111,2002,21650,Terrestrial,1,236.8314941
Kinglake National Park,-37.40638889,145.2111111,1928,23210,Terrestrial,1,50.27449226
Errinundra National Park,-37.28583333,148.895,1988,26875,Terrestrial,3,351.5332001
Lower Glenelg National Park,-38.06611111,141.2888889,1969,27300,Terrestrial,20,323.4080606
Lake Eildon National Park,-37.12944444,145.8688889,1997,27750,Terrestrial,6,110.3490167
Barmah National Park,-35.86666667,145.1180556,2010,28490,Terrestrial,3,216.9277251
Mount Buffalo National Park,-36.7552,146.7911,1898,31000,Terrestrial,2,200.0068208
Coopracambra National Park,-37.31138889,149.22,1988,38800,Terrestrial,0,379.3136425
Hattah-Kulkyne National Park,-34.68722222,142.3819444,1960,48000,Terrestrial,1,417.5960127
Wilsons Promontory National Park,-39.01333333,146.3938889,1898,50500,Terrestrial,13,182.5781172
Yarra Ranges National Park,-37.68055556,145.9911111,1995,76003,Terrestrial,1,91.58916295
Croajingolong National Park,-37.61666667,149.4666667,1979,88355,Terrestrial,8,396.7092031
Snowy River National Park,-37.275,148.5530556,1979,98700,Terrestrial,10,322.1009195
Great Otway National Park,-38.77333333,143.5569444,2005,103185,Terrestrial,67,162.6243721
Little Desert National Park,-36.60666667,141.1888889,1968,132647,Terrestrial,2,360.1381388
Grampians National Park,-37.20777778,142.4,1984,168277,Terrestrial,16,235.8897245
Wyperfeld National Park,-35.38916667,141.8769444,1921,357017,Terrestrial,3,385.4038653
Murray-Sunset National Park,-34.77638889,141.4838889,1991,633000,Terrestrial,12,459.5778949
Alpine National Park,-37.3375,146.7569444,1989,646000,Terrestrial,77,166.7123313
